,signature_id,fn_count,fp_count,sp_count,tp_count,true_count,problematic_alerts_count,total_count,non_sp_count
2657,4722823,5,4,0,12,17,9,21,21
2658,4864567,1,2,0,9,10,3,12,12
1820,4375285,1,0,0,6,7,1,7,7
1914,4405607,1,1,0,5,6,2,7,7
858,3870120,0,1,0,6,6,1,7,7
594,3779543,1,2,0,4,5,3,7,7
346,3777907,0,3,0,4,4,3,7,7
344,3777905,0,3,0,4,4,3,7,7
1730,4366834,0,2,0,5,5,2,7,7
1767,4375214,0,1,0,5,5,1,6,6
1916,4405609,1,1,0,4,5,2,6,6
1896,4405572,1,1,0,4,5,2,6,6
1918,4405611,1,1,0,4,5,2,6,6
783,3869790,1,1,0,4,5,2,6,6
856,3870117,0,1,0,5,5,1,6,6
1690,4366782,1,0,0,5,6,1,6,6
723,3869276,0,1,0,4,4,1,5,5
54,3776849,0,1,0,4,4,1,5,5
516,3779229,0,2,0,3,3,2,5,5
1862,4375357,0,1,0,4,4,1,5,5
648,3779718,0,2,0,3,3,2,5,5
770,3869639,0,1,0,4,4,1,5,5
784,3869791,0,1,0,4,4,1,5,5
1705,4366801,0,1,0,4,4,1,5,5
1760,4375204,0,1,0,4,4,1,5,5
2009,4405748,1,1,0,3,4,2,5,5
2523,4654149,1,1,0,3,4,2,5,5
2638,4654663,0,1,0,4,4,1,5,5
2642,4654667,0,1,0,4,4,1,5,5
2416,4653896,0,1,0,4,4,1,5,5
2353,4653708,2,0,0,3,5,2,5,5
174,3777067,1,0,0,3,4,1,4,4
2639,4654664,0,1,0,3,3,1,4,4
2641,4654666,0,1,0,3,3,1,4,4
781,3869788,0,1,0,3,3,1,4,4
782,3869789,0,1,0,3,3,1,4,4
186,3777088,0,1,0,3,3,1,4,4
1798,4375257,0,1,0,3,3,1,4,4
1789,4375244,1,0,0,3,4,1,4,4
1709,4366805,0,1,0,3,3,1,4,4
2786,4967505,0,1,0,3,3,1,4,4
2882,4975468,0,1,0,3,3,1,4,4
923,3870435,0,1,0,3,3,1,4,4
1669,4366755,1,0,0,3,4,1,4,4
953,3870617,0,1,0,3,3,1,4,4
955,3870619,0,1,0,3,3,1,4,4
785,3869793,0,1,0,3,3,1,4,4
956,3870621,0,1,0,3,3,1,4,4
1967,4405682,0,1,0,3,3,1,4,4
2068,4405859,0,1,0,3,3,1,4,4
2073,4405865,0,1,0,3,3,1,4,4
1827,4375294,1,0,0,3,4,1,4,4
2072,4405863,0,1,0,3,3,1,4,4
328,3777883,1,0,0,3,4,1,4,4
2440,4654035,0,1,0,3,3,1,4,4
2438,4654033,0,1,0,3,3,1,4,4
2436,4654029,0,1,0,3,3,1,4,4
2071,4405862,0,1,0,3,3,1,4,4
577,3779490,0,3,0,1,1,3,4,4
2069,4405860,0,1,0,3,3,1,4,4
2278,4408275,0,1,0,2,2,1,3,3
2098,4405924,1,0,0,2,3,1,3,3
2687,4967262,1,0,0,2,3,1,3,3
957,3870624,0,2,0,1,1,2,3,3
2480,4654092,0,1,0,2,2,1,3,3
1938,4405645,0,1,0,2,2,1,3,3
2467,4654072,1,0,0,2,3,1,3,3
2477,4654087,0,1,0,2,2,1,3,3
2276,4408272,0,1,0,2,2,1,3,3
53,3776847,0,1,0,2,2,1,3,3
220,3777136,1,0,0,2,3,1,3,3
193,3777097,0,1,0,2,2,1,3,3
575,3779488,0,2,0,1,1,2,3,3
150,3777025,1,1,0,1,2,2,3,3
636,3779650,1,1,0,1,2,2,3,3
377,3777969,0,2,0,1,1,2,3,3
478,3778123,0,1,0,2,2,1,3,3
378,3777972,1,0,0,2,3,1,3,3
850,3870108,0,1,0,2,2,1,3,3
749,3869459,1,0,0,2,3,1,3,3
874,3870201,1,0,0,2,3,1,3,3
374,3777964,0,2,0,1,1,2,3,3
576,3779489,0,2,0,1,1,2,3,3
578,3779491,0,2,0,1,1,2,3,3
109,3776945,0,1,0,2,2,1,3,3
579,3779493,0,2,0,1,1,2,3,3
107,3776942,0,1,0,2,2,1,3,3
2019,4405768,0,1,0,1,1,1,2,2
1935,4405642,0,1,0,1,1,1,2,2
1921,4405618,1,0,0,1,2,1,2,2
299,3777809,0,1,0,1,1,1,2,2
2231,4408151,0,1,0,1,1,1,2,2
552,3779361,0,1,0,1,1,1,2,2
376,3777967,0,1,0,1,1,1,2,2
2077,4405874,0,1,0,1,1,1,2,2
2404,4653880,0,1,0,1,1,1,2,2
2124,4405969,1,0,0,1,2,1,2,2
2176,4407558,0,1,0,1,1,1,2,2
2205,4407680,0,1,0,1,1,1,2,2
2230,4408149,0,1,0,1,1,1,2,2
2267,4408254,0,1,0,1,1,1,2,2
2268,4408255,0,1,0,1,1,1,2,2
2269,4408257,0,1,0,1,1,1,2,2
458,3778092,0,1,0,1,1,1,2,2
2285,4408340,0,1,0,1,1,1,2,2
588,3779513,0,1,0,1,1,1,2,2
304,3777833,0,1,0,1,1,1,2,2
1890,4405563,1,0,0,1,2,1,2,2
1480,4169754,0,1,0,1,1,1,2,2
2906,5042134,1,0,0,1,2,1,2,2
2846,4968999,1,0,0,1,2,1,2,2
1176,4167843,1,1,0,0,1,2,2,2
1181,4167866,0,1,0,1,1,1,2,2
2773,4967475,0,1,0,1,1,1,2,2
1249,4168119,0,1,0,1,1,1,2,2
116,3776959,0,2,0,0,0,2,2,2
1367,4169063,0,1,0,1,1,1,2,2
1372,4169071,0,1,0,1,1,1,2,2
1396,4169190,0,1,0,1,1,1,2,2
1399,4169193,0,1,0,1,1,1,2,2
135,3777002,1,0,0,1,2,1,2,2
2692,4967272,1,0,0,1,2,1,2,2
151,3777027,0,1,0,1,1,1,2,2
662,3779749,0,1,0,1,1,1,2,2
754,3869509,0,1,0,1,1,1,2,2
1780,4375231,1,0,0,1,2,1,2,2
224,3777143,0,1,0,1,1,1,2,2
2613,4654594,0,1,0,1,1,1,2,2
659,3779745,0,1,0,1,1,1,2,2
1818,4375282,0,1,0,1,1,1,2,2
242,3777170,0,1,0,1,1,1,2,2
940,3870539,1,0,0,1,2,1,2,2
680,3779869,0,1,0,1,1,1,2,2
2332,4609858,0,1,0,0,0,1,1,1
2331,4609856,0,1,0,0,0,1,1,1
2328,4609278,0,1,0,0,0,1,1,1
2330,4609854,0,1,0,0,0,1,1,1
2329,4609852,0,1,0,0,0,1,1,1
2327,4609266,0,1,0,0,0,1,1,1
2316,4609044,0,1,0,0,0,1,1,1
2333,4609860,0,1,0,0,0,1,1,1
399,3778002,0,1,0,0,0,1,1,1
2334,4609866,0,1,0,0,0,1,1,1
2335,4609870,0,1,0,0,0,1,1,1
2343,4610526,0,1,0,0,0,1,1,1
2313,4609032,0,1,0,0,0,1,1,1
2373,4653798,0,1,0,0,0,1,1,1
2374,4653799,0,1,0,0,0,1,1,1
2724,4967322,0,1,0,0,0,1,1,1
264,3777220,0,1,0,0,0,1,1,1
2408,4653885,0,1,0,0,0,1,1,1
2315,4609040,0,1,0,0,0,1,1,1
1067,3892049,0,1,0,0,0,1,1,1
2312,4609030,0,1,0,0,0,1,1,1
1494,4169833,0,1,0,0,0,1,1,1
587,3779511,0,1,0,0,0,1,1,1
1904,4405583,0,1,0,0,0,1,1,1
1884,4405555,0,1,0,0,0,1,1,1
702,3780004,0,1,0,0,0,1,1,1
705,3780009,0,1,0,0,0,1,1,1
714,3869251,0,1,0,0,0,1,1,1
908,3870346,0,1,0,0,0,1,1,1
1495,4169836,0,1,0,0,0,1,1,1
1456,4169695,0,1,0,0,0,1,1,1
2311,4609028,0,1,0,0,0,1,1,1
1351,4168995,0,1,0,0,0,1,1,1
1278,4168169,0,1,0,0,0,1,1,1
1229,4168024,0,1,0,0,0,1,1,1
1183,4167870,0,1,0,0,0,1,1,1
1182,4167868,0,1,0,0,0,1,1,1
1135,3892584,0,1,0,0,0,1,1,1
1085,3892113,0,1,0,0,0,1,1,1
1069,3892053,0,1,0,0,0,1,1,1
584,3779508,0,1,0,0,0,1,1,1
2013,4405753,0,1,0,0,0,1,1,1
2028,4405784,0,1,0,0,0,1,1,1
490,3778139,0,1,0,0,0,1,1,1
2303,4520181,0,1,0,0,0,1,1,1
2296,4519811,0,1,0,0,0,1,1,1
2295,4519807,0,1,0,0,0,1,1,1
2294,4519313,0,1,0,0,0,1,1,1
2291,4519271,0,1,0,0,0,1,1,1
2290,4519269,0,1,0,0,0,1,1,1
2289,4519265,0,1,0,0,0,1,1,1
2288,4519263,0,1,0,0,0,1,1,1
2282,4408327,0,1,0,0,0,1,1,1
2281,4408326,0,1,0,0,0,1,1,1
2280,4408323,0,1,0,0,0,1,1,1
466,3778108,0,1,0,0,0,1,1,1
2242,4408187,0,1,0,0,0,1,1,1
1068,3892051,0,1,0,0,0,1,1,1
468,3778110,0,1,0,0,0,1,1,1
2091,4405898,0,1,0,0,0,1,1,1
470,3778113,0,1,0,0,0,1,1,1
2917,5063447,0,1,0,0,0,1,1,1
